room_scene,source_positions,mic_idx,x,y,z,distance
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",0,2.776,5.558,1.7,"[0.5685921209443552, 3.1620191334019476]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",1,2.952,5.286,1.7,"[0.2446242015827542, 3.074852354178978]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",2,3.792,4.987,1.7,"[0.7113719139803029, 2.4567694234502353]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",3,6.045,6.7,1.7,"[3.371600213548457, 0.40921632421006837]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",4,6.477,6.424,1.7,"[3.645965441416032, 0.6436225602012412]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",5,2.191,5.236,1.7,"[0.9091380533230367, 3.812470327753385]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",6,3.627,5.878,1.7,"[0.9618814895817468, 2.2601951243200227]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",7,7.595,4.071,1.7,"[4.619976731543135, 2.8752782474049363]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",8,0.655,1.425,1.7,"[4.391841641043084, 7.147697041705111]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",9,2.864,4.783,1.7,"[0.3730013404801648, 3.3601744002357976]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",10,6.661,0.2,1.7,"[6.050404945125574, 6.2018495628320425]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",11,2.695,0.2,1.7,"[4.897712527292716, 6.903916135064215]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",12,3.527,5.223,1.7,"[0.46204004155484185, 2.5698437695704386]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",13,8.242,4.082,1.7,"[5.251097504331834, 3.3029442925971377]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",14,7.11,6.234,1.7,"[4.184690311122198, 1.2770093969897014]"
room05_scene04,"[[3.087, 5.082, 1.7], [5.838, 6.347, 1.7]]",15,2.08,1.661,1.7,"[3.5661309566531623, 6.006759525734321]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",0,0.212,3.33,1.7,"[0.7413946317582829, 7.186129208412551]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",1,1.015,3.6,1.7,"[0.22660317738284236, 6.557054979180821]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",2,0.918,2.999,1.7,"[0.7408920299206894, 6.408483439941153]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",3,7.688,0.869,1.7,"[7.430005450872832, 0.7851751396981441]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",4,7.322,0.2,1.7,"[7.389407689388913, 0.6744130781650073]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",5,7.361,0.674,1.7,"[7.210028085936974, 0.45141776659763855]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",6,7.585,0.318,1.7,"[7.5673901049172825, 0.7910764817639317]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",7,4.457,3.591,1.7,"[3.6268597987791034, 3.765921533967483]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",8,1.508,6.7,1.7,"[3.0408633642437803, 8.04873934228212]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",9,5.996,2.472,1.7,"[5.315236401139652, 1.9628930179711777]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",10,4.538,0.206,1.7,"[5.116724147342712, 2.4346122894621223]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",11,6.812,1.283,1.7,"[6.462255411232212, 0.5554457669295895]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",12,8.58,5.663,1.7,"[7.983307146790733, 5.200099229822447]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",13,5.946,1.646,1.7,"[5.523286159524961, 1.3278949506643964]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",14,0.926,3.598,1.7,"[0.16558381563425822, 6.636374386666261]"
room05_scene07,"[[0.833, 3.735, 1.7], [6.914, 0.737, 1.7]]",15,5.644,2.807,1.7,"[4.899684173495268, 2.428538655241048]"
